recorded_at,city,latitude,longitude,temperature_c,precipitation_mm,rain_mm,weather_code,is_rainy
2025-01-01T00:00,Calgary,51.0447,-114.0719,-9.0,0.1,0.0,71,True
2025-01-01T01:00,Calgary,51.0447,-114.0719,-9.4,0.2,0.0,71,True
2025-01-01T02:00,Calgary,51.0447,-114.0719,-9.6,0.2,0.0,71,True
2025-01-01T03:00,Calgary,51.0447,-114.0719,-9.8,0.2,0.0,71,True
2025-01-01T04:00,Calgary,51.0447,-114.0719,-10.0,0.3,0.0,73,True
2025-01-01T05:00,Calgary,51.0447,-114.0719,-10.5,0.3,0.0,73,True
2025-01-01T06:00,Calgary,51.0447,-114.0719,-11.1,0.2,0.0,71,True
2025-01-01T07:00,Calgary,51.0447,-114.0719,-11.6,0.1,0.0,71,True
2025-01-01T08:00,Calgary,51.0447,-114.0719,-12.1,0.1,0.0,71,True
2025-01-01T09:00,Calgary,51.0447,-114.0719,-12.7,0.1,0.0,71,True
2025-01-01T10:00,Calgary,51.0447,-114.0719,-13.3,0.1,0.0,71,True
2025-01-01T11:00,Calgary,51.0447,-114.0719,-13.6,0.2,0.0,71,True
2025-01-01T12:00,Calgary,51.0447,-114.0719,-13.8,0.1,0.0,71,True
2025-01-01T13:00,Calgary,51.0447,-114.0719,-13.4,0.2,0.0,71,True
2025-01-01T14:00,Calgary,51.0447,-114.0719,-13.6,0.2,0.0,71,True
2025-01-01T15:00,Calgary,51.0447,-114.0719,-13.9,0.2,0.0,71,True
2025-01-01T16:00,Calgary,51.0447,-114.0719,-14.2,0.2,0.0,71,True
2025-01-01T17:00,Calgary,51.0447,-114.0719,-14.1,0.1,0.0,71,True
2025-01-01T18:00,Calgary,51.0447,-114.0719,-13.9,0.1,0.0,71,True
2025-01-01T19:00,Calgary,51.0447,-114.0719,-13.6,0.1,0.0,71,True
2025-01-01T20:00,Calgary,51.0447,-114.0719,-13.4,0.0,0.0,3,False
2025-01-01T21:00,Calgary,51.0447,-114.0719,-13.4,0.0,0.0,3,False
2025-01-01T22:00,Calgary,51.0447,-114.0719,-13.5,0.0,0.0,3,False
2025-01-01T23:00,Calgary,51.0447,-114.0719,-13.8,0.0,0.0,3,False
2025-01-02T00:00,Calgary,51.0447,-114.0719,-14.0,0.0,0.0,3,False
2025-01-02T01:00,Calgary,51.0447,-114.0719,-14.5,0.0,0.0,3,False
2025-01-02T02:00,Calgary,51.0447,-114.0719,-14.9,0.0,0.0,3,False
2025-01-02T03:00,Calgary,51.0447,-114.0719,-15.8,0.0,0.0,3,False
2025-01-02T04:00,Calgary,51.0447,-114.0719,-16.7,0.0,0.0,3,False
2025-01-02T05:00,Calgary,51.0447,-114.0719,-16.6,0.0,0.0,3,False
2025-01-02T06:00,Calgary,51.0447,-114.0719,-17.2,0.0,0.0,3,False
2025-01-02T07:00,Calgary,51.0447,-114.0719,-17.9,0.0,0.0,3,False
2025-01-02T08:00,Calgary,51.0447,-114.0719,-18.5,0.0,0.0,3,False
2025-01-02T09:00,Calgary,51.0447,-114.0719,-17.7,0.0,0.0,3,False
2025-01-02T10:00,Calgary,51.0447,-114.0719,-17.6,0.0,0.0,3,False
2025-01-02T11:00,Calgary,51.0447,-114.0719,-18.2,0.0,0.0,3,False
2025-01-02T12:00,Calgary,51.0447,-114.0719,-18.2,0.0,0.0,3,False
2025-01-02T13:00,Calgary,51.0447,-114.0719,-16.0,0.1,0.0,71,True
2025-01-02T14:00,Calgary,51.0447,-114.0719,-16.7,0.1,0.0,71,True
2025-01-02T15:00,Calgary,51.0447,-114.0719,-17.8,0.0,0.0,3,False
2025-01-02T16:00,Calgary,51.0447,-114.0719,-18.8,0.0,0.0,3,False
2025-01-02T17:00,Calgary,51.0447,-114.0719,-18.3,0.0,0.0,3,False
2025-01-02T18:00,Calgary,51.0447,-114.0719,-17.2,0.0,0.0,3,False
2025-01-02T19:00,Calgary,51.0447,-114.0719,-16.5,0.0,0.0,3,False
2025-01-02T20:00,Calgary,51.0447,-114.0719,-16.2,0.0,0.0,3,False
2025-01-02T21:00,Calgary,51.0447,-114.0719,-16.0,0.0,0.0,3,False
